cuadrante,grupoFuncional,puntosDe25
1,cirripedio,3
2,piedra,0
3,cirripedio,6
3,alga efimera,6
4,cirripedio,7
5,cirripedio,1
6,piedra,0
7,alga corticada,2
7,herviboro,1
8,alga efimera,1
8,herviboro,0
8,alga corticada,3
9,cirripedio,0
10,alga corticada,6
10,alga efimera,2
10,no identificado,1
10,herviboro,0
11,alga corticada,18
12,cirripedio,0
13,cirripedio,11
14,alga efimera,1
14,cirripedio,17
15,cirripedio,14
15,mitilidos,3
15,herviboro,0
15,alga efimera,2
16,cirripedio,19
16,herviboro,0
16,alga efimera,1
17,cirripedio,11
17,mitilidos,4
17,alga efimera,7
18,cirripedio,18
18,alga efimera,5
19,cirripedio,18
19,herviboro,0
19,alga efimera,1
19,alga corticada,5
20,cirripedio,18
20,alga efimera,6
21,alga efimera,6
21,mitilidos,12
21,cirripedio,6
21,no identificado,1
22,alga corticada,12
22,alga efimera,0
22,mitilidos,6
22,cirripedio,5
23,alga efimera,5
23,alga corticada,7
23,mitilidos,2
23,cirripedio,6
24,alga efimera,0
24,herviboro,5
24,alga corticada,13
24,cirripedio,0
24,kelp,4
25,alga corticada,9
25,cirripedio,1
26,alga corticada,7
27,alga corticada,7
28,cirripedio,1
28,alga corticada,15
29,alga corticada,1
30,cirripedio,0
31,herviboro,0
31,alga articulada,3
32,alga articulada,2
33,herviboro,1
33,alga articulada,5
34,herviboro,4
34,alga articulada,16
35,herviboro,5
35,alga articulada,13
36,herviboro,0
36,alga articulada,22
